"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"Elasticsearch Index Prefix","Prefijo de Index Elasticsearch"
"Elasticsearch Server Hostname","Nombre de host del servidor de Elasticsearch"
"Elasticsearch Server Port","Puerto de Servidor Elasticsearch"
"element comment","comentario de elemento"
"element hint","sugerencia de elemento"
"element label","etiqueta de elemento"
"element tooltip","tooltip de elemento"
Elements,Elementos
Email,"Correo electrónico"
email,"correo electrónico"
"Email Address","Dirección de correo electrónico"
"Email address","Dirección de correo electrónico"
"Email address impact. The customer uses a free email provider, or the email address is risky","Impacto de la dirección de correo electrónico. El cliente utiliza un proveedor de correo electrónico gratuito, o la dirección de correo electrónico es riesgosa"
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Email Associated with PayPal Merchant Account","Correo electrónico asociado con la cuenta de minorista de PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Correo electrónico asociado con la cuenta de minorista de PayPal (opcional)"
"Email Copy of Credit Memo","Enviar una copia de la factura rectificativa por correo electrónico"
"Email Copy of Invoice","Enviar una copia de la factura por correo electrónico"
"Email Copy of Shipment","Enviar una copia del envío por correo electrónico"
"Email Customer","Correo electrónico del Cliente"
"Email has not been sent","Correo electrónico no ha sido enviado"
"Email Notification Settings","Configuración de notificación de email"
"Email Options","Opciones de correo electrónico"
"Email Order Confirmation","Enviar una confirmación del pedido por correo electrónico"
"Email Preview","Vista previa del correo electrónico"
"Email Reminder Rule","Regla de correo electrónico recordatorio"
"Email Reminders","Recordatorios por correo electrónico"
"Email Returns Confirmation","Email de confirmación de devoluciones"
"Email Send Failure Threshold","Umbral de fallo de envió de email"
"Email Sender","Correo electrónico Remitente"
"Email Sent from Gift Card Account Management","Correo electrónico enviado desde administración de cuentas de tarjeta de regalo"
"Email Template","Correo electrónico Plantilla"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Plantilla de correo electrónico elegida basada en la suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Email Templates","Plantillas de correo electrónico"
"Email Text Length Limit","Límite de longitud de texto de correo electrónico"
"Email to a Friend","Correo electrónico a un amigo"
"email us at","envíenos un email a"
"Email Verification","Verificación de correo electrónico"
"Email: %email","Correo electrónico: %email"
"Emails and Labels","Emails y Etiquetas"
"Emails Failed","Emails fallados"
"Emails Sent","Emails enviados"
"Embedded (Translation on Admin side)","Incrustado (traducción en lado de Admin)"
Empty,Vacío
"Empty attribute code","Código de atributo vacío"
"Empty log","Registro vacío"
"Empty response","Respuesta vacía"
"Empty Rows","Filas vacías"
"Empty Value.","Valor vacío."
Enable,Habilitar
"Enable ""Remember Me""","Activar ""Recordarme"""
"Enable Archiving","Permitir Archivar"
"Enable Autocomplete on login/forgot password forms","Habilitar Autocompletar en formularios login/olvido de contraseña"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"Enable Automatic Fetching","Habilitar acceso automático"
"Enable Block","Activar bloque"
"Enable CAPTCHA in Admin","Habilitar CAPTCHA en admin"
"Enable CAPTCHA on Storefront","Habilitar CAPTCHA en tienda"
"Enable Catalog Event Widget on Storefront","Habilitar el Widget de Eventos de Catálogo en la tienda"
"Enable Catalog Events Functionality","Habilitar la funcionalidad catálogo de eventos"
"Enable Category","Habilitar la categoría"
"Enable Chapter/Section","Activar Capítulo/Sección"
"Enable Charts","Habilitar Gráficas"
"Enable Contact Us","Habilitar contacte con nosotros"
"Enable Content Experiments","Habilitar contenidos experimentales"
"Enable Cron","Habilitar Cron"
"Enable Cross Border Trade","Permitir operaciones transfronterizas"
"Enable Customer Segment Functionality","Habilitar la funcionalidad del segmento del cliente"
"Enable Elasticsearch HTTP Auth","Habilitar Elasticsearch HTTP Auth"
"Enable Express Checkout","Habilitar el pago exprés"
"Enable FPT","Habilitar FPT"
"Enable Free Shipping Threshold","Habilitar umbral para envío gratuito"
"Enable Gift Registry","Habilitar registro de regalo"
"Enable Hierarchy Functionality","Habilitar la funcionalidad de la jerarquía"
"Enable Hierarchy Metadata","Habilitar Metadata de Jerarquía"
"Enable HTTP Strict Transport Security (HSTS)","Habilitar HTTP Seguridad de Transporte estricta (HSTS)"
"Enable In-Context Checkout Experience","Habilitar Experiencia de Compra en Contexto"
"Enable Invitations Functionality","Habilitar la funcionalidad de invitaciones"
"Enable Invitations on Storefront","Permitir invitaciones en el Frontend"
"Enable JavaScript Bundling","Activar agrupación de JavaScript"
"Enable MAP","Habilitar MAP"
"Enable Multiple Wish Lists","Permitir múltiples listas de deseos"
"Enable Negotiated Rates","Habilitar tarifas negociadas"
"Enable New Relic Integration","Habilitar nueva integración Relic"
"Enable Onepage Checkout","Habilitar proceso de pago en una sola página"
"Enable Order by SKU on My Account in Storefront","Habilitar la compra por SKU en mi cuenta en tienda"
"Enable Page","Activar página"
"Enable Pagination","Habilitar paginación"
"Enable Payflow Link","Habilitar el enlace de Payflow"
"Enable PayPal Credit","Habilitar crédito de PayPal"
"Enable PayPal Guest Checkout","Habilitar proceso de pago Paypal para visitantes"
"Enable PayPal through Braintree","Activar PayPal a través de Braintree"
"Enable Persistence","Activar persistencia"
"Enable Product","Habilitar Producto"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Enable Reminder Emails","Habilitar cemails de recordatorio"
"Enable Reward Points Functionality","Habilitar la funcionalidad de puntos de recompensa"
"Enable RMA on Product Level","Habilitar RMA en el nivel de producto"
"Enable RMA on Storefront","Habilitar RMA en tienda"
"Enable RSS","Activar RSS"
"Enable Scheduled Backup","Activar copia de seguridad programada"
"Enable Scheduled File History Cleaning","Habilitar limpieza programada de historial de archivos"
"Enable Search Recommendations","Habilitar recomendaciones de búsqueda"
"Enable Search Suggestions","Habilitar sugerencias de búsqueda"
"Enable Single-Store Mode","Activar el Modo Tienda Única"
"Enable SSL verification","Habilitar verificación SSL"
"Enable Store Credit Functionality","Habilitar funcionalidad de crédito de la tienda"
"Enable Submission to Robots.txt","Habilitar envío de Robots.txt"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Enable this Solution","Habilitar esta solución"
"Enable Warehouse","Habilitar Almacén"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enable WYSIWYG Editor","WYSIWYG-Editor aktivieren"
Enabled,Habilitado
"Enabled Actions","Acciones permitidas"
"Enabled by Default","Aktiviert (voreingestellt)"
"Enabled for Admin","Habilitado para el Administrador"
"Enabled for Checkout","Habilitado para el proceso de pago"
"Enabled for RMA","Habilitado para RMA"
"Enabled for Storefront","Habilitado para el Escaparate"
"Enabled Template Path Hints for Admin","Habilitar Consejos en la Ruta de Plantilla para el Administrador"
"Enabled Template Path Hints for Storefront","Habilitar Consejos en la Ruta de Plantilla para el Escaparate"
"Enabled when authorized items require a new shipment.","Activa cuando requieran autorizado un nuevo envío."
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Permite la funcionalidad de capítulo/sección para este nodo, subnodos y páginas"
"Encryption Key","Clave de cifrado"
End,Fin
"End Date","Fecha de finalización"
"End Date must follow Start Date.","Fecha de finalización debe ser posterior a la fecha de inicio."
"End Time","Hora de finalización"
ending,finalizando
"Engine autocommit","Motor autocommit"
"Enter a negative number to subtract from the balance.","Introduzca un número negativo para restar del saldo."
"Enter a New Address","Neue Adresse eingeben"
"Enter discount code","Introducir código de descuento"
"Enter Each Email on New Line","Introduce cada Email en nueva línea"
"Enter Email","Ingresar el email"
"Enter gift card code","Ingrese el código de tarjeta de regalo"
"Enter Name for New Attribute Set","Ingresar el nombre para el nuevo conjunto de atributos"
"Enter SKUs below, one per line","Ingrese SKU abajo, uno por línea"
"Enter the gift card code","Ingrese el código de tarjeta de regalo"
"Enter the number of days until the email reminder rule is retriggered if conditions still match (Ex: Enter ""7, 14"" to trigger emails in 7 days, and then 14 days after that).","Introduzca el número de días hasta que la regla de recordatorio de email se reactivará si coincide con las condiciones (Ej: Introduzca ""7, 14"" para activar los emails en 7 días, luego 14 días después de la salida del cliente)."
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Introduzca la URL donde pueden enviarse las credenciales Oauth cuando se utiliza el intercambio de token Oauth. Recomendamos ampliamente usar https://."
"enter your billing address for proper VAT calculation","introduzca su dirección de facturación para el adecuado cálculo del IVA"
"Enter your email address","Tu e-mail"
"Enter your email address.  You will receive an email with a link to reset your password.","Introduzca su dirección de correo electrónico.  Usted recibirá un correo electrónico con un enlace para restablecer tu contraseña."
"enter your shipping address for proper VAT calculation","introduzca su dirección de envío para el adecuado cálculo del IVA"
"Entity already exists","Entidad ya existe"
"Entity attribute with id ""%1"" not found","Atributo de la entidad con el id ""%1"" no encontrado"
"Entity Attributes",Datensatz-Merkmale
"Entity is not initialized","La entidad no está inicializada"
"Entity is unknown","Entidad desconocida"
"Entity object is undefined","Objeto de entidad indefinido"
"Entity Sequence profile not added to meta active profile","Perfil de la secuencia de entidad no añadido al perfil activo de meta"
"Entity Type","Tipo de datos"
"Entity Type Code","Código de tipo de entidad"
"Entity type model '%1' is not found","No se encuentra el modelo del tipo entidad '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Modelo de tipo de entidad debe ser una instancia de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Modelo de tipo de entidad debe ser una instancia de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type:","Tipo de entidad:"
"Entity Types","Tipo de entidad"
"Entity types declaration cache","Caché de declaración de tipos de entidad"
Environment,Entorno
"Environment emulation nesting is not allowed.","No se permite el anidamiento de emulación del entorno."
"Environment Update Time","Intervalo de actualización del entorno"
Equal,Igual
"equal to","igual a"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"Error #%1 : %2","Error #%1: %2"
"Error Code","Código de error"
"Error during VAT Number verification.","Error durante la verificación del número VAT."
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Error File","Archivo de Error"
"Error filtering template: %s","Error de filtrado plantilla: %s"
"Error in data structure: %1 values are mixed","Error en la estructura de datos: valores %1 se mezclan"
"Error in reading category rules","Error en la lectura de las reglas de la categoría"
"Error in yes/no format","Error en formato sí/no"
"Error message","Mensaje de error"
"Error Message","Mensaje de error"
"Error message!","¡Mensaje de error!"
"Error occurred when generating coupons: %1","Error al generar cupones: %1"
"Error occurred when saving coupon: %1","Error al guardar el cupón: %1"
"Error processing payment, please try again later.","Error al procesar el pago, por favor inténtalo más tarde."
"Error processing payment. Please try again later.","Error al procesar el pago, por favor inténtalo más tarde."
"Error Text","Texto de error"
"Error to Show in Shopping Cart","Error a mostrar en el carrito de compras"
"Error while checking if topic is synchronous","Error al comprobar si el tema es sincrónico"
Error!,¡Fallo!
"Errors in Cron Schedules Queue","Errores en cola de programación Cron"
"Escape HTML Entities","Escapar de entidades HTML"
"Estimate Shipping and Tax","Calcular el envío"
"Estimate Tax","Calcular impuestos"
"Estimated Total","Total estimado"
"Europe bank account","Cuenta bancaria de Europa"
"Europe First Priority","Primera prioridad de Europa"
"European Union Countries","Países de la Unión Europea"
Event,Evento
"Event Code","Código de evento"
"Event Country","Evento país"
"Event Data","Datos del evento"
"Event Date","Fechas del evento"
"Event for selected category","Evento para la categoría seleccionada"
"Event Information","Información de evento"
"Event Location","Lugar del Evento"
"Event Name","Nombre del evento"
"Event Region Id","Id de evento región"
"Event Region Text","Texto de Evento de Región"
Events,Eventos
"Events to Scroll per Click in Event Slider Widget","Eventos para desplazarse por clic en Event Slider Widget"
"Every 10 days","Cada 10 días"
"Every 14 days","Cada 14 días"
"Every 3 days","Cada 3 días"
"Every 30 days","Cada 30 días"
"Every 40 days","Cada 40 días"
"Every 7 days","Cada 7 días"
"Every option entity must have a parent product entity.","Cada entidad de opción debe tener una entidad de producto padre."
"ex. http://domain.com","por ejemplo, http://dominio.es"
"Exact Match.","Coincidencia exacta."
"Exact Match. Address and Postal Code. International","Coincidencia exacta. Dirección y Código Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Coincidencia exacta. Dirección y Código Postal. Específico para Reino Unido"
"Example format: 200x300.","Formato de ejemplo: 200 x 300."
Example:,Ejemplo:
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","ejemplo: ""/sitemap/"" o ""/"" para base path (la ruta de acceso debe tener permisos de escritura)"
"example: sitemap.xml","ejemplo: sitemap.xml"
Exception,Excepcion
"Exception message","Mensaje de excepción"
"Exception occurred during order load","Se produjo una excepción durante la carga de la orden"
Exception.,Excepción.
"Excessive address change. The customer changed the billing address two or more times in the last six months","Cambio de dirección excesivo. El cliente cambió la dirección de facturación dos o más veces en los últimos seis meses"
"Excessive name changes. The customer changed the name two or more times in the last six months","Cambio de nombre excesivo. El cliente cambió el nombre dos o más veces en los últimos seis meses"
"Excl. Tax","Impuestos NO Incl."
"Excl. tax:","Excl. Impuesto:"
Exclude,Excluir
"Exclude from Navigation Menu","Excluir del menú de navegación"
"Exclude media folder from backup","Excluir la carpeta de los archivos multimedia de la copia de seguridad"
"Excluding FPT","Excluido FPT"
"Excluding FPT. Including FPT description and final price","Excluyendo el FPT. Incluyendo Descripción de FPT y el precio final"
"Excluding prefix, suffix and separators.","Excluyendo prefijos, sufijos y separaciones"
"Excluding Tax","Impuestos no incluídos"
"Executed At","Ejecutado en"
"Execution Time","Tiempo de ejecución"
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Cantidad existente de ""%1"" producto en el carrito se ha sustituido por cantidad %2 a pedido."
exists,existe
Expand,Expandir
"Expand All","Abrir todos"
"Expected Children Count","Cuenta de hijos esperados"
"Expected Level","Nivel esperado"
"Experiment Code","Código experimental"
"Experiment code should be added to the original page only.","El código experimental debe agregarse a la página original solamente."
"Expiration Date","Fecha de vencimiento"
"Expiration Period","Periodo de expiración"
Expired,Caducado
"Expired reward","Recompensa expirada"
expires,expira
Expires,Vencimiento
"Expires on %1","Vence el %1"
Expires:,Expira:
"Expiry Warning Before (days)","Advertencia de la caducidad antes (días)"
Explanation,Explicación
Export,Exportar
"Export block for grid %1 is not defined","Bloque de exportación para %1 de red no está definido"
"Export CSV","CSV exportieren"
"Export Failed Emails","Exportar emails fallados"
"Export File Format","Exportar el formato de archivo"
"Export File Information","Información de archivo de exportación"
"Export Settings","Exportar la configuración"
"Export Tax Rates","Exportar tasas de impuestos"
"Export to:","Exportar a:"
"Export VCL for Varnish %1","Exportar VCL para Varnish %1"
"Exported %1 rows.","Se han exportado %1 filas."
"Express 10:30","Envío urgente hasta las 10:30 horas"
"Express 12:00","Envío urgente hasta las 12:00 horas"
"Express 9:00","Envío urgente hasta las 9:00 horas"
"Express Checkout","Paso por Caja Express"
"Express Checkout and Order have been canceled.","El pedido y la Caja Express se han cancelado."
"Express Checkout APIs","APIs de Paso por Caja Express"
"Express Checkout has been canceled.","La Caja Express se ha cancelado."
"Express easy","Envío urgente fácil"
"Express envelope","Envío urgente sobre"
"Express Saver","Envío urgente garantizada"
"Express worldwide","Envío urgente internacional"
Extensions,Extensiones
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Extensiones y temas son un componente esencial del ecosistema Magento. Visite el mercado de Magento para ver las últimas novedades que los desarrolladores han creado para mejorar su tienda Magento."
failed,fallado
Failed,Fallado
"Failed Email Receiver","Error correo electrónico receptor"
"Failed Email Sender","Remitente de correo electrónico fallido"
"Failed Email Template","Plantilla de correo electrónico fallida"
"Failed Messages Lifetime","Tiempo de vida de mensajes fallados"
"Failed to delete %1 synonym group(s).","Error al eliminar %1 grupo de sinónimos."
"Failed to initialize customer","Falló la inicialización de cliente"
"Failed to rollback.","La restauración ha fallado."
"Failed to save backup with error: %1","No se pudo guardar la copia de seguridad por error: %1"
"Failed to save new media gallery entry.","Error al guardar la nueva entrada multimedia en la galería."
"Failed to validate FTP.","Ha fallado la validación FTP."
failed.,falló.
Failure,Error
"Failure #1","Fallo #1"
"Failure #2","Fallos #2"
"Failure History Lifetime","Período de validez del historial de errores"
Failures,Fallos
FALSE,FALSO
"Fatal Error","Error fatal"
"FATAL ERROR:","ERROR FATAL:"
"Favicon Icon","Icono de favoritos"
"FDS Filter Action","Acción de filtrado FDS"
"Featured Platinum Partners","Socios platino recomendados"
"FedEx 10kg Box","Caja de 10 Kg. de FedEx"
"FedEx 25kg Box","Caja de 25 Kg. de FedEx"
"FedEx Box","Caja de FedEx"
"FedEx Envelope","Sobre de FedEx"
"FedEx Pak","Paquete de FedEx"
"FedEx Tube","Tubo de FedEx"
"Fee Amount","Importe de la comisión"
"Fee Debit or Credit","Comisión débito o crédito"
"Fee Reversal","Retroceso de comisiones"
"Fee: Foreign ACH Withdrawal","Comisión: Retirada ACH en el extranjero"
"Fee: Mass Pay Request","Comisión: Solicitud de pago masivo"
"Fee: Web Site Payments Pro Account Monthly","Comisión: Cuenta web site payments pro mensual"
"Fee: WorldLink Check Withdrawal","Comisión: Retirada mediante cheque WorldLink"
Feed,"Fuente (feed)"
Female,Femenino
Fetch,Optener
"Fetch Updates","Nuevos resultados obtenidos"
Field,Campo
"Field '%1' not found","Campo '%1' no encontrado"
"Field 2","Campo 2"
"Field 3","Campo 3"
"Field 3.1","Campo 3.1"
"Field 3.1.1","Campo 3.1.1"
"Field 4","Campo 4"
"Field separator","Separador de campos"
"Fieldset Code","Código Fieldset"
"Fieldset Properties","Propiedades de conjunto de campos"
"Fieldset Title","Título conjunto de campos"
File,Archivo
"File '%1' is not an image.","El archivo '%1' no es una imagen."
"File '%1' was not found or has read restriction.","El archivo '%1' no se ha encontrado o tiene restricciones de lectura."
"File (attachment)","Archivo (adjunto)"
"File %1 does not exist","El archivo %1 no existe"
"File %1 is not readable","El archivo %1 no se puede leer"
"File can not be saved to the destination folder.","Archivo no puede guardarse en la carpeta de destino."
"File Directory","Directorio de archivos"
"File directory '%1' is not readable.","Directorio de archivos '%1' no es legible."
"File directory '%1' is not writable.","El directorio '%1' no es escribible."
"File does not exist","El archivo no existe"
"File Extensions","Extensiones de archivos"
"File extensions allowed: .csv","Extensiones de archivo permitidas: .csv"
"File Format","Formato de Archivo"
"File handler unreachable","Controlador de archivo inalcanzable"
"File has been not created","Archivo no ha sido creado"
"File history path:","Ruta del archivo de historia:"
"File is valid! To start import process press ""Import"" button","El archivo no es correcto. Para empezar el proceso de importación pulse el botón ""Importar""."
"File Mode","Modo de archivo"
"File Name","Nombre de archivo"
"File not found: ""%1"".","No se encontró el archivo: ""%1""."
"File size in bytes.","Tamaño del archivo en bytes."
"File System","Sistema de archivos"
"File system","Sistema de archivos"
"File to Import","Archivo a importar"
"File with an extension ""%value%"" is protected and cannot be uploaded","El archivo con extensión ""%value%"" está protegido y no se puede subir"
"File you are trying to upload exceeds maximum file size limit.","Archivo que está intentando subir excede límite de tamaño máximo de archivo."
Filename,"Nombre del archivo"
Filter,Filtro
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"Filtering by this attribute will update the product image on catalog page","Filtrar por este atributo actualizará la imagen del producto en la página de catálogo"
Filters,Filtros
"Final commit","Commit final"
"Final Price","Precio final"
"Find Order By","Buscar pedido por"
"Finish Date","Fecha de finalización"
"Finished At","Terminado en"
First,Primero
"First Day of Week","Primer día de la semana"
"First Invoice Created Date","Fecha de Creación de la primera factura"
"First Name",Nombre
"First Name is a required field.","Se requiere nombre."
"First Overnight","Primera clase nocturno"
"First-Class Mail International Large Envelope","First-Class Mail International Sobre grande"
"First-Class Mail Large Envelope","First-Class Mail Sobre grande"
"First-Class Mail Large Postcards","First-Class Mail Postal grande"
"First-Class Mail Letter","First-Class Mail Carta"
"First-Class Mail Parcel","First-Class Mail Paquete"
Fixed,Fijo
"Fixed amount discount","Monto fijo de descuento"
"Fixed amount discount for whole cart","Descuento de cantidad fija para el carro completo"
"Fixed Product Tax","Impuesto fijo del artículo"
"Fixed Product Taxes","Impuestos fijos del artículo"
Flat,"Tarifa plana"
"Flat Rate","Tarifa plana"
"Flat-Rate Box","Caja de tarifa plana"
"Flat-Rate Envelope","Sobre de tarifa plana"
Flush,Limpiar
"Flush Cache Storage","Vaciar almacenamiento de caché"
"Flush Catalog Images Cache","Vaciar memoria cache de imágenes del catalogo"
"Flush JavaScript/CSS Cache","Borrar Memoria Cache de JavaScript/CSS"
"Flush Magento Cache","Vaciar caché de Magento"
"Flush Static Files Cache","Borrar Memoria Caché de Archivos Estáticos"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este enlace para anular su suscripción <!-- Esta etiqueta es para el enlace de anulación--><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Following Error(s) has been occurred during importing process:","Los siguientes errores han ocurrido durante el proceso de importación:"
Font,"Tipo de letra"
"Fonts Assets","Activos de fuentes"
Footer,"Pie de página"
"Footer Template","Plantilla de pie de página"
for,para
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Para información precisa, asegúrese de actualizar las estadísticas de por vida cada vez que cambie la zona horaria."
"For better search results, first choose a gift registry type. By default, we search all registry types.","Para mejores resultados de la búsqueda, primero elige un tipo de registro de regalo. De forma predeterminada, buscar todo tipo de registro."
"For category","Para la categoría"
"For Checkout","Para Checkout"
"For CMS page","Para Página de CMS"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Para generar URLs correctas durante ejecución cron por favor asegúrese que las URls Web > Secure and Unsecure Base están establecidas explicitamente. Todos los tiempos están en minutos."
"For delivery questions.","Para preguntas de entrega."
"for greater than","para mayor que"
"For internal use","Para uso interno"
"For matching items only","Sólo para artículos correspondientes"
"for more information or","para más información o"
"For Multishipping","Para Multienvío"
"for or greater than","para o mayor que"
"For product","Para el producto"
"For shipment with matching items","Para envíos con artículos correspondientes"
"For shipping to multiple family members and friends","Para envío a varios miembros de la familia y amigos"
"For some reason we can't retrieve tracking info right now.","Por alguna razón no se puede obtener la información de rastreo en este momento."
"For submitting a product review","Para enviar una reseña de producto"
"For the last time placed.","Para la última vez que se ha colocado."
"For Theme","Para el tema"
"For Type ""Local Server"" use relative path to Magento installation,
                                e.g. var/export, var/import, var/export/some/dir","Para tipo ""Servidor Local"" usar ruta de acceso relativa a la instalación de Magento, por ejemplo, var/exportación, importación/var, var/exportación/algunos/dir"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para tipo ""Servidor Local"" usar ruta de acceso relativa a la instalación de Magento, por ejemplo,var/export, var/import, var/export/some/dir"
"For Virtual Quotes Only","Solo para presupuestos en línea"
"Force Sign-In","Forzar inicio de sesión"
Forced,Forzado
"Forgot an Item?","¿Ha olvidado un artículo?"
"Forgot and Reset Email Sender","Olvido y Restablecer Correo Electrónico del Remitente"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Password Email Template","Plantilla de Email de Contraseña olvidada"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidó la contraseña de su cuenta? Haga clic <a href=""%reset_url""> aquí</a> para restablecerla."
"Forgot Your Password?","¿Olvidó su contraseña?"
"Forgot your password?","¿Olvidó su contraseña?"
"Forgot Your Password","Forgot Your Password"
"Form Code","Código de formulario"
"Form Element with the same attribute","Formar elemento con el mismo atributo"
"Form Fieldset with the same code","Formar conjunto de campos con el mismo código"
"Form Label","Etiqueta de forma"
"Form Title","Tipo de formulario"
"Form Type Information","Información del tipo de forma"
"Form Type with the same code","Formar tipo con el mismo código"
"Format for IDE '%1' is not supported","Formato para IDE '%1' no es compatible"
Forms,Formularios
"Forms to Use In","Formularios para usar en"
found,encontrado
FOUND,ENCONTRADO
"Frame Size","Tamaño del marco"
"Frame Skip","Salto de frame"
"Fraud Detection","Detección de fraude"
"Fraud Filters","Filtros de fraude"
"Fraud Message","Mensaje de fraude"
"Free Method","Método gratuito"
"Free Shipping","Transporte gratuito"
"Free Shipping Amount Threshold","Umbral de cantidad para Envío Gratis"
Freight,Mercancías
"Freight worldwide","Transporte internacional"
Frequency,Frecuencia
From,Desde
from,"a partir de"
From,Desde
"From Name","Por nombre"
From:,Desde:
"Frontend Development Workflow","Flujo de trabajo de Desarrollo Frontend"
"Frontend Experience Settings","Ajustes de la experiencia con fachada"
"Frontend Model","Entrada Modelo"
"Frontend Themes List","Lista de temas de frontend"
"FTP credentials","Credenciales FTP"
"FTP Host","FTP Server"
"FTP Host[:Port]","FTP Server[:Port]"
"FTP Login","Inicio de sesión de FTP"
"FTP Password","Contraseña de FTP"
Fulfilled,Completado
"Fulfilled Quantity","Cantidad satisfecha"
Full,Lleno
"Full Action Name","Nombre completo de la acción"
"Full Details","Todos los detalles"
"Full Page Cache","Caché de página completa"
"Full page caching","Caché de pagina completa"
Funding,Fondos
"Future Update End Time cannot be equal or earlier than Start Time.","En una actualización futura el tiempo de finalización no puede ser anterior o igual al tiempo de inicio."
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Ya existe una futura actualización en este intervalo de tiempo. Seleccione un rango diferente para agregar una nueva actualización en el futuro."
"Future Update Start Time cannot be earlier than current time.","Hora de inicio de actualización programada no puede ser anterior a la hora actual."
Gallery,Galería
"Gateway error: %1","Error de pasarela: %1"
"Gateway processing error.","Error de procesamiento de Gateway."
"Gateway rejected","Gateway rechazado"
"Gateway response is not valid.","La respuesta del Gateway no es válida."
"Gateway URL","URL de la pasarela"
"Gateway validation error","Error de validación de Gateway"
"Gateway XML URL","URL XML de la pasarela"
Gender,Sexo
"General (Authorization)","General (Autorización)"
"General (Dividend)","General (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","General (Transferencia de Fondos desde una Cuenta Paypal a Otra Cuenta)"
"General (Purchase with a credit card)","General (Compra con una tarjeta de crédito)"
"General Adjustment without businessrelated event","Ajuste general sin ningún acontecimiento relacionado con el negocio"
"General Contact","Contacto general"
"General Contact Email","Contacto general - correo electrónico"
"General Contact Name","Contacto general - nombre"
"General Currency Conversion","Conversión de divisa general"
"General Funding of PayPal Account","Fondos generales de la cuenta de PayPal"
"General Information","Información general"
"General Options","Opciones generales"
"General Properties","Propiedades generales"
"General Redemption","Amortización general"
"General Report","Informe general"
"General Rule Information","Información sobre la regla general"
"General Section","Sección General"
"General Settings","Configuración General"
"General Subscription","Suscripción general"
"General Withdrawal from PayPal Account","Retirada de fondos general desde la cuenta de PayPal"
"General: adjustment of a type not belonging to the other T12xx categories","General: ajuste de una clase no perteneciente a las otras T12xx categorías"
"General: bonus of a type not belonging to the other T08xx categories","General: bonificación de una clase no perteneciente a las otras T08xx categorías"
"General: event not yet categorized","General: suceso no catalogado aún"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: tarifa de impago de una clase no perteneciente a las otras T01xx categorías"
